timestamp,cadence,power,SmO2
07:30:05,14,92,38
07:30:06,29,61,37
07:30:07,38,47,32
07:30:08,43,14,27
07:30:09,48,42,27
07:30:10,54,53,28
07:30:11,60,56,31
07:30:12,35,82,32
07:30:13,38,113,29
07:30:14,40,130,26
07:30:15,44,141,27
07:30:16,47,146,30
07:30:17,50,128,33
07:30:18,52,96,33
07:30:19,53,97,30
07:30:20,56,103,27
07:30:21,56,102,26
07:30:22,57,98,29
07:30:23,58,104,32
07:30:24,58,94,32
07:30:25,59,81,31
07:30:26,58,94,30
07:30:27,58,99,30
07:30:28,59,109,31
07:30:29,59,116,35
07:30:30,60,133,36
07:30:31,60,121,34
07:30:32,62,116,32
07:30:33,63,143,30
07:30:34,64,167,32
07:30:35,65,128,35
07:30:36,64,113,37
07:30:37,65,123,34
07:30:38,65,124,32
07:30:39,66,127,30
07:30:40,65,121,33
07:30:41,64,110,35
07:30:42,66,128,36
07:30:43,66,140,33
07:30:44,67,160,31
07:30:45,68,162,31
07:30:46,68,139,33
07:30:47,69,107,36
07:30:48,69,130,37
07:30:49,69,137,34
07:30:50,69,153,33
07:30:51,68,106,33
07:30:52,67,226,35
07:30:53,68,212,38
07:30:54,66,148,36
07:30:55,66,144,32
07:30:56,66,176,29
07:30:57,67,174,31
07:30:58,67,154,34
07:30:59,68,160,37
07:31:00,68,146,36
07:31:01,67,145,34
07:31:02,68,159,31
07:31:03,68,153,33
07:31:04,68,190,35
07:31:05,68,184,37
07:31:06,67,155,35
07:31:07,69,164,32
07:31:08,69,164,29
07:31:09,69,160,30
07:31:10,69,148,35
07:31:11,68,145,37
07:31:12,69,170,37
07:31:13,69,155,35
07:31:14,69,168,32
07:31:15,69,189,32
07:31:16,69,184,34
07:31:17,70,171,37
07:31:18,70,173,36
07:31:19,70,171,32
07:31:20,70,146,28
07:31:21,69,139,30
07:31:22,70,175,33
07:31:23,70,153,35
07:31:24,70,171,34
07:31:25,70,156,33
07:31:26,69,168,31
07:31:27,70,179,34
07:31:28,70,169,37
07:31:29,70,164,37
07:31:30,70,179,35
07:31:31,69,153,31
07:31:32,70,162,29
07:31:33,70,167,32
07:31:34,70,178,36
07:31:35,70,153,37
07:31:36,69,172,36
07:31:37,70,174,34
07:31:38,70,166,34
07:31:39,70,179,37
07:31:40,70,178,39
07:31:41,69,181,39
07:31:42,71,193,35
07:31:43,71,143,33
07:31:44,71,160,32
07:31:45,71,158,34
07:31:46,69,155,37
07:31:47,70,149,39
07:31:48,70,160,38
07:31:49,70,165,36
07:31:50,70,150,33
07:31:51,69,168,36
07:31:52,70,164,38
07:31:53,70,172,38
07:31:54,70,193,36
07:31:55,70,175,35
07:31:56,69,174,33
07:31:57,71,171,36
07:31:58,71,181,39
07:31:59,71,171,42
07:32:00,71,185,41
07:32:01,70,169,38
07:32:02,71,165,35
07:32:03,71,156,36
07:32:04,71,168,39
07:32:05,71,167,41
07:32:06,70,161,40
07:32:07,69,171,37
07:32:08,70,177,35
07:32:09,70,149,35
07:32:10,70,159,39
07:32:11,70,156,41
07:32:12,69,149,41
07:32:13,70,150,37
07:32:14,70,182,36
07:32:15,70,160,38
07:32:16,70,140,39
07:32:17,68,192,40
07:32:18,70,172,37
07:32:19,70,167,36
07:32:20,70,173,32
07:32:21,70,172,35
07:32:22,69,163,39
07:32:23,70,167,39
07:32:24,70,179,37
07:32:25,70,199,35
07:32:26,71,177,33
07:32:27,70,161,35
07:32:28,71,175,39
07:32:29,71,170,41
07:32:30,71,169,39
07:32:31,71,156,38
07:32:32,70,176,36
07:32:33,70,168,38
07:32:34,70,157,41
07:32:35,70,169,41
07:32:36,70,164,39
07:32:37,69,166,38
07:32:38,70,168,35
07:32:39,71,175,38
07:32:40,71,164,41
07:32:41,71,164,44
07:32:42,69,163,43
07:32:43,70,154,41
07:32:44,70,158,39
07:32:45,70,165,39
07:32:46,70,163,41
07:32:47,69,162,41
07:32:48,70,173,41
07:32:49,70,198,39
07:32:50,70,172,38
07:32:51,70,166,36
07:32:52,69,165,39
07:32:53,70,179,41
07:32:54,70,168,43
07:32:55,71,167,42
07:32:56,71,153,40
07:32:57,69,165,39
07:32:58,70,162,37
07:32:59,70,157,39
07:33:00,70,184,42
07:33:01,70,170,44
07:33:02,69,159,44
07:33:03,70,162,40
07:33:04,70,156,39
07:33:05,70,149,38
07:33:06,70,165,39
07:33:07,69,162,42
07:33:08,69,168,44
07:33:09,70,165,45
07:33:10,70,169,43
07:33:11,70,163,41
07:33:12,69,154,39
07:33:13,70,154,40
07:33:14,70,169,41
07:33:15,70,181,40
07:33:16,70,163,38
07:33:17,70,173,37
07:33:18,69,177,38
07:33:19,70,171,40
07:33:20,70,171,44
07:33:21,70,177,45
07:33:22,71,173,44
07:33:23,70,171,40
07:33:24,71,173,39
07:33:25,71,173,43
07:33:26,71,171,39
07:33:27,71,167,41
07:33:28,70,150,42
07:33:29,70,138,40
07:33:30,70,176,38
07:33:31,70,141,37
07:33:32,70,153,36
07:33:33,69,194,40
07:33:34,70,184,44
07:33:35,71,163,44
07:33:36,71,161,42
07:33:37,70,152,39
07:33:38,69,167,37
07:33:39,70,164,38
07:33:40,70,169,40
07:33:41,70,181,43
07:33:42,70,177,45
07:33:43,69,158,43
07:33:44,70,162,40
07:33:45,70,162,39
07:33:46,70,159,40
07:33:47,70,152,43
07:33:48,69,175,46
07:33:49,70,175,47
07:33:50,70,169,44
07:33:51,70,158,42
07:33:52,70,158,41
07:33:53,69,154,41
07:33:54,69,143,42
07:33:55,69,168,43
07:33:56,69,170,42
07:33:57,69,169,41
07:33:58,68,134,40
07:33:59,69,160,40
07:34:00,69,158,41
07:34:01,69,158,45
07:34:02,69,166,46
07:34:03,68,182,46
07:34:04,69,174,48
07:34:05,69,168,50
07:34:06,69,160,52
07:34:07,69,166,53
07:34:08,68,171,53
07:34:09,69,151,52
07:34:10,69,144,52
07:34:11,69,164,53
07:34:12,69,153,57
07:34:13,68,155,59
07:34:14,69,177,58
07:34:15,69,186,57
07:34:16,69,155,56
07:34:17,69,168,56
07:34:18,68,176,57
07:34:19,69,169,56
07:34:20,70,172,56
07:34:21,70,165,59
07:34:22,70,168,59
07:34:23,69,159,60
