Time,SmO2,Thb
21:23:16,63.4,13.27
21:23:17,62.1,13.26
21:23:18,62.1,13.27
21:23:19,61.8,13.26
21:23:20,61.7,13.32
21:23:21,61.6,13.34
21:23:22,61.6,13.35
21:23:23,61.8,13.36
21:23:24,61.5,13.35
21:23:25,60.1,13.32
21:23:26,60.2,13.33
21:23:27,60.2,13.34
21:23:28,60.6,13.37
21:23:29,59.4,13.34
21:23:30,59.4,13.34
21:23:31,60.1,13.37
21:23:32,60.7,13.37
21:23:33,60.2,13.36
21:23:34,60.5,13.39
21:23:35,59.5,13.38
21:23:36,59.9,13.39
21:23:37,59.5,13.39
21:23:38,60.2,13.41
21:23:39,59,13.39
21:23:40,59.1,13.39
21:23:41,59.8,13.42
21:23:42,59.2,13.41
21:23:43,58.8,13.41
21:23:44,57.7,13.39
21:23:45,57.5,13.39
21:23:46,58.2,13.41
21:23:47,58.3,13.42
21:23:48,57.9,13.42
21:23:49,57.3,13.41
21:23:50,57,13.41
21:23:51,57.1,13.42
21:23:52,57.3,13.44
21:23:53,57,13.45
21:23:54,56.2,13.44
21:23:55,56.7,13.45
21:23:56,55.4,13.43
21:23:57,56.1,13.45
21:23:58,56.2,13.46
21:23:59,55.5,13.45
21:24:00,55.1,13.45
21:24:01,54.1,13.44
21:24:02,55.5,13.46
21:24:03,53,13.42
21:24:04,53.7,13.43
21:24:05,53.8,13.44
21:24:06,51.9,13.41
21:24:07,51.9,13.42
21:24:08,52.1,13.4
21:24:09,51.4,13.41
21:24:10,52.2,13.41
21:24:11,51,13.4
21:24:12,51.3,13.41
21:24:13,52.6,13.44
21:24:14,51.9,13.43
21:24:15,51.5,13.43
21:24:16,49.3,13.39
21:24:17,51.3,13.44
21:24:18,50.4,13.42
21:24:19,50.6,13.42
21:24:20,48.3,13.4
21:24:21,47.7,13.39
21:24:22,49.3,13.42
21:24:23,48.6,13.42
21:24:24,48.9,13.42
21:24:25,48.6,13.42
21:24:26,47.2,13.4
21:24:27,47.5,13.4
21:24:28,47.7,13.4
21:24:29,45.3,13.38
21:24:30,44.6,13.4
21:24:31,45.9,13.42
21:24:32,44.8,13.41
21:24:33,46.4,13.43
21:24:34,49.2,13.47
21:24:35,47.1,13.45
21:24:36,47.8,13.48
21:24:37,44.8,13.41
21:24:38,44.9,13.43
21:24:39,44.1,13.4
21:24:40,46.1,13.45
21:24:41,47.3,13.46
21:24:42,44.4,13.42
21:24:43,45.8,13.45
21:24:44,45.2,13.44
21:24:45,45.7,13.46
21:24:46,44.8,13.45
21:24:47,45.5,13.46
21:24:48,43,13.43
21:24:49,42.6,13.42
21:24:50,42.1,13.42
21:24:51,44.4,13.49
21:24:52,42.8,13.48
21:24:53,43.3,13.5
21:24:54,40.9,13.45
21:24:55,40.4,13.44
21:24:56,39.5,13.38
21:24:57,44.2,13.48
21:24:58,43.7,13.45
21:24:59,42.9,13.45
21:25:00,42.8,13.46
21:25:01,43.4,13.46
21:25:02,43.6,13.46
21:25:03,43.5,13.46
21:25:04,43.3,13.47
21:25:05,41.2,13.44
21:25:06,42.7,13.47
21:25:07,41.5,13.46
21:25:08,41.3,13.45
21:25:09,43.9,13.5
21:25:10,40.7,13.45
21:25:11,41,13.48
21:25:12,39.1,13.45
21:25:13,39,13.45
21:25:14,37.9,13.43
21:25:15,39,13.46
21:25:16,37,13.43
21:25:17,38.5,13.46
21:25:18,32.3,13.39
21:25:19,34.7,13.44
21:25:20,35.7,13.46
21:25:21,34.7,13.46
21:25:22,30.1,13.4
21:25:23,29.8,13.4
21:25:24,35.4,13.47
21:25:25,31.8,13.43
21:25:26,30.6,13.43
21:25:27,32.7,13.43
21:25:28,31.3,13.43
21:25:29,31.7,13.43
21:25:30,30,13.41
21:25:31,31.5,13.44
21:25:32,26.4,13.38
21:25:33,32,13.44
21:25:34,28.4,13.4
21:25:35,31.2,13.43
21:25:36,28.2,13.41
21:25:37,32.5,13.44
21:25:38,28.2,13.39
21:25:39,30.6,13.42
21:25:40,30.3,13.41
21:25:41,28.7,13.4
21:25:42,31.1,13.44
21:25:43,27.9,13.39
21:25:44,26.2,13.38
21:25:45,24,13.36
21:25:46,28.6,13.41
21:25:47,27.4,13.38
21:25:48,30.5,13.39
21:25:49,34.6,13.36
21:25:50,45.2,13.42
21:25:51,46.3,13.39
21:25:52,46.8,13.39
21:25:53,50.8,13.39
21:25:54,55.3,13.41
21:25:55,54,13.28
21:25:56,52,13.04
21:25:57,62,13.38
21:25:58,69.2,13.35
21:25:59,67.5,13.4
21:26:00,69.3,13.39
21:26:01,70.3,13.39
21:26:02,70.8,13.38
21:26:03,71,13.4
21:26:04,69.2,13.32
21:26:05,69.7,13.35
21:26:06,70.2,13.38
21:26:07,70,13.39
21:26:08,70.2,13.41
21:26:09,69.3,13.38
21:26:10,69.8,13.41
21:26:11,68.7,13.39
21:26:12,68.2,13.41
