Time,SmO2,Thb
8:50:33,65.2,12.38
8:50:34,65.1,12.38
8:50:35,65,12.34
8:50:36,65.7,12.27
8:50:37,66.3,12.27
8:50:38,65.5,12.33
8:50:39,65.4,12.34
8:50:40,64.9,12.32
8:50:41,64.6,12.31
8:50:42,65.1,12.35
8:50:43,64.3,12.36
8:50:44,64.3,12.37
8:50:45,64.2,12.39
8:50:46,64.5,12.37
8:50:47,64.5,12.37
8:50:48,64.7,12.32
8:50:49,64.3,12.3
8:50:50,64.3,12.29
8:50:51,64.3,12.29
8:50:52,63.8,12.29
8:50:53,63.7,12.3
8:50:54,63.4,12.3
8:50:55,63.4,12.29
8:50:56,63,12.3
8:50:57,63,12.31
8:50:58,62.5,12.3
8:50:59,63.2,12.26
8:51:00,64.4,12.21
8:51:01,64.2,12.18
8:51:02,64.4,12.17
8:51:03,64,12.18
8:51:04,62.1,12.24
8:51:05,62,12.24
8:51:06,61.8,12.25
8:51:07,62,12.26
8:51:08,61.7,12.28
8:51:09,61.9,12.29
8:51:10,61.8,12.31
8:51:11,61.7,12.3
8:51:12,61.8,12.29
8:51:13,61.2,12.31
8:51:14,60.8,12.32
8:51:15,60.7,12.31
8:51:16,60.5,12.3
8:51:17,60.4,12.3
8:51:18,60.2,12.3
8:51:19,60,12.29
8:51:20,59.4,12.3
8:51:21,59.1,12.31
8:51:22,59,12.3
8:51:23,59,12.3
8:51:24,59,12.3
8:51:25,58.9,12.31
8:51:26,58.8,12.31
8:51:27,58.8,12.3
8:51:28,58.7,12.31
8:51:29,58.6,12.3
8:51:30,57.9,12.3
8:51:31,57.7,12.29
8:51:32,57.4,12.28
8:51:33,57.1,12.27
8:51:34,57,12.27
8:51:35,56.9,12.28
8:51:36,56.6,12.28
8:51:37,56.6,12.28
8:51:38,56.6,12.28
8:51:39,56.5,12.29
8:51:40,56.3,12.29
8:51:41,56.5,12.3
8:51:42,56.2,12.29
8:51:43,56.2,12.29
8:51:44,56,12.29
8:51:45,56,12.29
8:51:46,55.8,12.28
8:51:47,56.1,12.29
8:51:48,55.6,12.28
8:51:49,55.5,12.28
8:51:50,55.4,12.29
8:51:51,55.3,12.28
8:51:52,55.1,12.28
8:51:53,54.8,12.28
8:51:54,54.8,12.28
8:51:55,54.8,12.29
8:51:56,54.7,12.29
8:51:57,54.6,12.3
8:51:58,53.8,12.3
8:51:59,54.5,12.29
8:52:00,53.8,12.3
8:52:01,53.6,12.3
8:52:02,53.6,12.3
8:52:03,53.1,12.29
8:52:04,53.2,12.29
8:52:05,53.4,12.3
8:52:06,53.2,12.3
8:52:07,53.1,12.3
8:52:08,53.1,12.3
8:52:09,53.1,12.31
8:52:10,52.9,12.3
8:52:11,53,12.31
8:52:12,53.1,12.31
8:52:13,52.8,12.31
8:52:14,52.7,12.31
8:52:15,52.5,12.31
8:52:16,52.5,12.31
8:52:17,52.6,12.31
8:52:18,52,12.31
8:52:19,52,12.3
8:52:20,52.2,12.31
8:52:21,52.3,12.31
8:52:22,52.4,12.31
8:52:23,52.2,12.31
8:52:24,52.1,12.31
8:52:25,52.2,12.32
8:52:26,52.3,12.32
8:52:27,52.3,12.32
8:52:28,52.3,12.32
8:52:29,52,12.32
8:52:30,52.3,12.33
8:52:31,52.1,12.33
8:52:32,52.1,12.33
8:52:33,52.3,12.32
8:52:34,52.1,12.33
8:52:35,52.1,12.33
8:52:36,52.1,12.33
8:52:37,52.1,12.33
8:52:38,52.3,12.34
