Time,SmO2,Thb
21:47:41,60.6,12.98
21:47:42,61.8,12.96
21:47:43,62.1,12.95
21:47:44,57.7,12.91
21:47:45,57.6,12.92
21:47:46,59.1,12.94
21:47:47,56.5,12.89
21:47:48,58.4,12.87
21:47:49,57.7,12.92
21:47:50,57.1,12.83
21:47:51,57.9,12.9
21:47:52,61.7,12.91
21:47:53,60.5,12.88
21:47:54,60.7,12.93
21:47:55,57.5,12.91
21:47:56,55.8,12.91
21:47:57,59.7,12.97
21:47:58,49.5,12.9
21:47:59,46.6,12.87
21:48:00,45.9,12.9
21:48:01,45.3,12.91
21:48:02,44.7,12.91
21:48:03,43.3,12.91
21:48:04,43.2,12.94
21:48:05,43.2,12.94
21:48:06,42.6,12.93
21:48:07,47.9,12.96
21:48:08,46.8,12.95
21:48:09,46.2,12.95
21:48:10,46.8,12.97
21:48:11,45,12.96
21:48:12,44.6,12.96
21:48:13,44.8,12.97
21:48:14,44.9,12.99
21:48:15,44.9,13
21:48:16,43.6,12.98
21:48:17,43.6,12.99
21:48:18,44.6,12.98
21:48:19,44.8,12.98
21:48:20,44.5,12.98
21:48:21,45,13
21:48:22,43.6,12.99
21:48:23,43.9,13.01
21:48:24,43.3,13
21:48:25,43.8,13.02
21:48:26,44.1,13.02
21:48:27,44,13.01
21:48:28,48,13.03
21:48:29,46.1,13.01
21:48:30,45.7,13.02
21:48:31,43.3,13.01
21:48:32,43.3,13.02
21:48:33,43.1,13.01
21:48:34,42.9,13.03
21:48:35,41.5,13.02
21:48:36,43.7,13.05
21:48:37,41.7,13.03
21:48:38,41.8,13.04
21:48:39,42.2,13.05
21:48:40,40.6,13.03
21:48:41,40.5,13.04
21:48:42,41.6,13.05
21:48:43,44.4,13.06
21:48:44,43.2,13.05
21:48:45,43.5,13.06
21:48:46,44.2,13.07
21:48:47,44.3,13.07
21:48:48,43.7,13.06
21:48:49,43.6,13.07
21:48:50,43.6,13.07
21:48:51,43.3,13.08
21:48:52,44,13.08
21:48:53,42.5,13.06
21:48:54,43.2,13.08
21:48:55,40.8,12.96
21:48:56,42.6,12.96
21:48:57,41.6,12.95
21:48:58,41,12.97
21:48:59,39.6,12.98
21:49:00,41,13.03
21:49:01,41,13.04
21:49:02,40.6,13.04
21:49:03,39.6,13.04
21:49:04,37.2,13.07
21:49:05,34.2,13.07
21:49:06,33.7,13.07
21:49:07,36.8,13.07
21:49:08,31.8,13.09
21:49:09,27.6,13.1
21:49:10,26.4,13.09
21:49:11,25.2,13.1
21:49:12,24.7,13.1
21:49:13,24.2,13.11
21:49:14,23.1,13.1
21:49:15,21.8,13.1
21:49:16,23.3,13.12
21:49:17,20.4,13.1
21:49:18,17,13.1
21:49:19,19.7,13.1
21:49:20,17.7,13.09
21:49:21,17.2,13.1
21:49:22,18.1,13.12
21:49:23,15.4,13.09
21:49:24,28.7,13.12
21:49:25,29.7,13.14
21:49:26,36.1,13.14
21:49:27,38.8,12.96
21:49:28,39.4,12.96
21:49:29,49.8,12.94
21:49:30,54.6,12.92
21:49:31,59.2,12.88
21:49:32,63.4,12.9
21:49:33,66.2,12.87
21:49:34,69.4,12.91
21:49:35,72.3,12.91
21:49:36,74.2,12.92
21:49:37,74.9,12.89
21:49:38,75.9,12.91
21:49:39,77.3,12.93
21:49:40,77.6,12.87
21:49:41,78.1,12.9
21:49:42,77.7,12.89
21:49:43,78.1,12.91
21:49:44,78.8,12.93
21:49:45,77.8,12.89
21:49:46,78.1,12.89
21:49:47,74,12.88
