Time,SmO2,Thb
22:03:10,58.3,13
22:03:11,57.7,12.94
22:03:12,56.8,12.9
22:03:13,57.8,12.93
22:03:14,63.7,13.01
22:03:15,63.8,12.98
22:03:16,65.3,13
22:03:17,65.8,12.99
22:03:18,65.7,12.97
22:03:19,65.6,12.96
22:03:20,64.8,12.95
22:03:21,64.2,12.98
22:03:22,63.6,12.96
22:03:23,62.8,12.93
22:03:24,62.6,12.93
22:03:25,58.7,12.92
22:03:26,59.1,12.93
22:03:27,59.7,12.93
22:03:28,58.7,12.95
22:03:29,56,12.89
22:03:30,54.6,12.88
22:03:31,54.4,12.87
22:03:32,63,13.01
22:03:33,63,12.94
22:03:34,63.9,12.95
22:03:35,60.2,12.89
22:03:36,58,12.85
22:03:37,55.1,12.85
22:03:38,57.8,12.85
22:03:39,53.7,12.93
22:03:40,55,12.85
22:03:41,56.7,12.9
22:03:42,56.7,12.91
22:03:43,56,12.89
22:03:44,57.1,12.91
22:03:45,57.3,12.93
22:03:46,54.2,12.95
22:03:47,55.6,13.01
22:03:48,56.1,13.03
22:03:49,58.3,13.05
22:03:50,60.5,13.06
22:03:51,55.8,12.99
22:03:52,54.9,13.05
22:03:53,58.8,13.08
22:03:54,62.1,13.09
22:03:55,63.9,13.13
22:03:56,63.5,13.16
22:03:57,64.9,13.2
22:03:58,63.6,13.17
22:03:59,64.1,13.16
22:04:00,64.7,13.2
22:04:01,64.8,13.21
22:04:02,65.9,13.24
22:04:03,63.8,13.21
22:04:04,63.6,13.19
22:04:05,62.7,13.19
22:04:06,63.9,13.24
22:04:07,61.5,13.15
22:04:08,62.4,13.22
22:04:09,61.8,13.15
22:04:10,61.2,13.15
22:04:11,61.1,13.1
22:04:12,60.9,13.15
22:04:13,60.3,13.15
22:04:14,63.1,13.23
22:04:15,60.3,13.16
22:04:16,59.4,13.15
22:04:17,60.5,13.2
22:04:18,61.3,13.21
22:04:19,59.6,13.18
22:04:20,57.6,13.15
22:04:21,60.7,13.22
22:04:22,55.1,13.09
22:04:23,52.9,13.07
22:04:24,57,13.11
22:04:25,55.7,13.11
22:04:26,52.9,13.08
22:04:27,53.6,13.08
22:04:28,51.2,13.05
22:04:29,51.2,13.06
22:04:30,52.8,13.05
22:04:31,52.9,13.07
22:04:32,51.5,13.07
22:04:33,51.8,13.09
22:04:34,54.1,13.16
22:04:35,52.6,13.15
22:04:36,55,13.21
22:04:37,55.2,13.2
22:04:38,56.1,13.23
22:04:39,50.4,13.14
22:04:40,54.1,13.21
22:04:41,53.2,13.21
22:04:42,49.9,13.16
22:04:43,48.1,13.14
22:04:44,49.7,13.18
22:04:45,50.2,13.19
22:04:46,48,13.18
22:04:47,50.4,13.22
22:04:48,46.9,13.17
22:04:49,50.2,13.22
22:04:50,51.4,13.25
22:04:51,47.3,13.18
22:04:52,46.3,13.18
22:04:53,46.6,13.18
22:04:54,48.4,13.23
22:04:55,47.5,13.23
22:04:56,49.3,13.26
22:04:57,48.9,13.26
22:04:58,45.3,13.19
22:04:59,41.4,13.15
22:05:00,43.8,13.18
22:05:01,37.2,13.1
22:05:02,35.4,13.13
22:05:03,35.6,13.14
22:05:04,35.1,13.13
22:05:05,36.4,13.17
22:05:06,33.2,13.12
22:05:07,32.4,13.12
