Time,SmO2,Thb
21:17:36,62.2,13.26
21:17:37,62.4,13.29
21:17:38,62.6,13.31
21:17:39,62.9,13.34
21:17:40,64,13.39
21:17:41,62.4,13.35
21:17:42,61.4,13.35
21:17:43,62.6,13.36
21:17:44,63,13.41
21:17:45,62.8,13.4
21:17:46,61.8,13.34
21:17:47,60.9,13.37
21:17:48,60.7,13.39
21:17:49,62.1,13.43
21:17:50,61.3,13.41
21:17:51,61.4,13.47
21:17:52,63.6,13.49
21:17:53,60.4,13.47
21:17:54,60.7,13.49
21:17:55,62.4,13.49
21:17:56,59.1,13.48
21:17:57,59.1,13.48
21:17:58,58.2,13.48
21:17:59,58.6,13.5
21:18:00,58.5,13.5
21:18:01,60.1,13.54
21:18:02,57.2,13.5
21:18:03,57.5,13.48
21:18:04,58.5,13.49
21:18:05,55.8,13.45
21:18:06,57.9,13.47
21:18:07,57.7,13.5
21:18:08,55.6,13.47
21:18:09,52,13.44
21:18:10,52.5,13.46
21:18:11,52.9,13.46
21:18:12,53,13.47
21:18:13,52.8,13.48
21:18:14,52.2,13.48
21:18:15,50.7,13.48
21:18:16,49.5,13.47
21:18:17,48,13.46
21:18:18,52.5,13.47
21:18:19,47.4,13.47
21:18:20,48.6,13.5
21:18:21,47.1,13.48
21:18:22,46.5,13.48
21:18:23,44.6,13.46
21:18:24,44.4,13.48
21:18:25,43.5,13.47
21:18:26,42.9,13.47
21:18:27,42.7,13.48
21:18:28,42,13.48
21:18:29,40.2,13.47
21:18:30,41.6,13.49
21:18:31,40.3,13.48
21:18:32,39.5,13.47
21:18:33,40.5,13.5
21:18:34,37.1,13.46
21:18:35,38,13.48
21:18:36,37.9,13.48
21:18:37,41.6,13.5
21:18:38,37.2,13.49
21:18:39,37.4,13.49
21:18:40,36.6,13.49
21:18:41,34.7,13.51
21:18:42,33.4,13.5
21:18:43,31.2,13.49
21:18:44,30.4,13.48
21:18:45,30,13.49
21:18:46,33,13.48
21:18:47,36.5,13.5
21:18:48,36.4,13.51
21:18:49,31.8,13.49
21:18:50,36.1,13.53
21:18:51,34.6,13.5
21:18:52,34.2,13.5
21:18:53,30.7,13.51
21:18:54,30.8,13.51
21:18:55,33.4,13.51
21:18:56,33.5,13.52
21:18:57,30.1,13.49
21:18:58,27,13.5
21:18:59,23.3,13.47
21:19:00,24.5,13.48
21:19:01,26,13.5
21:19:02,28.8,13.49
21:19:03,23.4,13.48
21:19:04,25.9,13.51
21:19:05,25.5,13.51
21:19:06,22.6,13.47
21:19:07,25.2,13.49
21:19:08,25.4,13.51
21:19:09,23.7,13.5
21:19:10,22.3,13.49
21:19:11,24.2,13.51
21:19:12,23.7,13.5
21:19:13,27.3,13.52
21:19:14,19.4,13.47
21:19:15,26.4,13.5
21:19:16,23.4,13.51
21:19:17,22.7,13.53
21:19:18,22.6,13.53
21:19:19,22.4,13.51
21:19:20,22.9,13.51
21:19:21,23,13.52
21:19:22,23.5,13.53
21:19:23,22,13.5
21:19:24,23.4,13.54
21:19:25,22.4,13.53
21:19:26,22.4,13.53
21:19:27,22.4,13.54
21:19:28,21.6,13.52
21:19:29,15.9,13.51
21:19:30,21.1,13.5
21:19:31,23.9,13.5
21:19:32,22.9,13.5
21:19:33,23,13.51
21:19:34,25.3,13.5
21:19:35,25.1,13.5
21:19:36,25,13.49
21:19:37,25.2,13.5
21:19:38,29.3,13.54
21:19:39,32.7,13.53
21:19:40,38.2,13.54
21:19:41,41,13.5
21:19:42,45.7,13.47
21:19:43,57,13.44
21:19:44,61.3,13.5
21:19:45,65.3,13.56
21:19:46,69.3,13.67
21:19:47,71.2,13.6
21:19:48,74.1,13.57
21:19:49,74.8,13.62
21:19:50,75.6,13.67
21:19:51,76,13.53
21:19:52,75.5,13.65
21:19:53,76,13.63
21:19:54,76.7,13.56
21:19:55,76.7,13.55
21:19:56,76.7,13.56
21:19:57,75.4,13.48
21:19:58,73.2,13.42
21:19:59,72.8,13.42
