Time,SmO2,Thb
22:31:06,70.6,11.99
22:31:07,69.9,12
22:31:08,69.9,12.07
22:31:09,70.1,12.08
22:31:10,69.9,12.09
22:31:11,70.4,12.1
22:31:12,70.4,12.1
22:31:13,69.1,12.06
22:31:14,68.1,12.02
22:31:15,68.5,12.04
22:31:16,69,12.04
22:31:17,67.7,12.02
22:31:18,66.6,12.02
22:31:19,65.9,12.01
22:31:20,65.5,12.01
22:31:21,67.2,12
22:31:22,69.2,12
22:31:23,69.7,12.01
22:31:24,70.9,12.05
22:31:25,71.3,12.06
22:31:26,71.1,12.09
22:31:27,71.2,12.12
22:31:28,72,12.13
22:31:29,72.1,12.13
22:31:30,72.8,12.14
22:31:31,73.2,12.15
22:31:32,73.9,12.16
22:31:33,74.1,12.16
22:31:34,74.5,12.16
22:31:35,74.7,12.17
22:31:36,75.4,12.18
22:31:37,75.1,12.18
22:31:38,72.6,12.18
22:31:39,72.5,12.17
22:31:40,71.8,12.19
22:31:41,71.5,12.19
22:31:42,72.9,12.17
22:31:43,72.4,12.17
22:31:44,72.6,12.17
22:31:45,72,12.18
22:31:46,72,12.18
22:31:47,71.5,12.18
22:31:48,71.5,12.18
22:31:49,71.1,12.18
22:31:50,70.9,12.18
22:31:51,71,12.19
22:31:52,70.5,12.18
22:31:53,70.4,12.18
22:31:54,70.1,12.19
22:31:55,69.7,12.19
22:31:56,69.7,12.19
22:31:57,69.2,12.19
22:31:58,69.2,12.2
22:31:59,68.9,12.2
22:32:00,68.6,12.2
22:32:01,68.6,12.21
22:32:02,68.3,12.2
22:32:03,68.6,12.19
22:32:04,67.7,12.19
22:32:05,66.6,12.21
22:32:06,66.9,12.2
22:32:07,66.5,12.2
22:32:08,65,12.2
22:32:09,64.5,12.19
22:32:10,63.4,12.17
22:32:11,63.7,12.17
22:32:12,64.4,12.16
22:32:13,65.2,12.18
22:32:14,64.4,12.21
22:32:15,65.1,12.2
22:32:16,65.6,12.2
22:32:17,65.7,12.21
22:32:18,64.6,12.2
22:32:19,66,12.21
22:32:20,66.4,12.22
22:32:21,66.5,12.23
22:32:22,66.6,12.24
22:32:23,66.9,12.24
22:32:24,66.6,12.25
22:32:25,66.6,12.25
22:32:26,66.1,12.24
22:32:27,65.6,12.22
22:32:28,65.7,12.22
22:32:29,65.5,12.22
22:32:30,65.3,12.22
22:32:31,65.2,12.22
22:32:32,65.1,12.21
22:32:33,65.1,12.22
22:32:34,64.9,12.23
22:32:35,64.9,12.24
22:32:36,64.7,12.24
22:32:37,64.4,12.24
22:32:38,63.4,12.25
22:32:39,63.4,12.25
22:32:40,62.9,12.25
22:32:41,62.9,12.24
22:32:42,62.7,12.24
22:32:43,62.7,12.24
22:32:44,62.6,12.24
22:32:45,62.7,12.25
22:32:46,62.7,12.24
22:32:47,62.7,12.25
22:32:48,62.5,12.25
22:32:49,62.3,12.25
22:32:50,62,12.25
22:32:51,61.8,12.25
22:32:52,62,12.26
22:32:53,61.6,12.24
22:32:54,61.6,12.25
22:32:55,61.7,12.25
22:32:56,61.4,12.25
22:32:57,61.7,12.25
22:32:58,61.6,12.25
22:32:59,61.5,12.26
22:33:00,61.2,12.26
22:33:01,61.1,12.26
22:33:02,60.8,12.25
22:33:03,60.8,12.25
22:33:04,60.9,12.26
22:33:05,59.8,12.25
22:33:06,59.6,12.25
22:33:07,60,12.24
22:33:08,60.2,12.25
22:33:09,60.3,12.24
22:33:10,60.2,12.25
22:33:11,60.5,12.26
22:33:12,60.3,12.25
22:33:13,60.3,12.26
22:33:14,60.1,12.26
22:33:15,59.9,12.25
22:33:16,59.9,12.26
22:33:17,59.6,12.26
22:33:18,59.4,12.26
22:33:19,59.4,12.25
22:33:20,59.2,12.26
22:33:21,59.3,12.26
22:33:22,59.2,12.26
22:33:23,59.1,12.26
22:33:24,58.2,12.27
22:33:25,58.1,12.27
22:33:26,57.9,12.27
22:33:27,57.9,12.27
22:33:28,57.7,12.27
22:33:29,57.8,12.28
22:33:30,57.6,12.27
22:33:31,57.5,12.27
22:33:32,57.3,12.27
22:33:33,57.2,12.28
22:33:34,57.2,12.28
22:33:35,57.5,12.28
22:33:36,56.9,12.28
22:33:37,57.2,12.29
22:33:38,56.8,12.29
22:33:39,56.7,12.29
22:33:40,56.8,12.28
22:33:41,57,12.28
22:33:42,57,12.28
22:33:43,57,12.29
22:33:44,56.9,12.28
22:33:45,56.8,12.29
22:33:46,56.8,12.29
22:33:47,56.6,12.28
22:33:48,56.4,12.29
22:33:49,56.6,12.29
22:33:50,56.5,12.29
22:33:51,56.4,12.3
22:33:52,56.3,12.3
22:33:53,56.1,12.3
22:33:54,56.1,12.3
22:33:55,56.2,12.31
22:33:56,56.2,12.31
22:33:57,56,12.31
22:33:58,56,12.31
22:33:59,56.2,12.31
22:34:00,56.1,12.32
22:34:01,56,12.31
22:34:02,56,12.32
22:34:03,55.9,12.31
22:34:04,55.9,12.32
22:34:05,55.5,12.32
22:34:06,55.4,12.32
22:34:07,55.2,12.34
22:34:08,55,12.33
22:34:09,55.4,12.32
22:34:10,55.1,12.34
22:34:11,55.3,12.34
22:34:12,55,12.33
22:34:13,55,12.34
22:34:14,55.1,12.34
22:34:15,54.9,12.34
22:34:16,55.5,12.35
22:34:17,55.4,12.34
22:34:18,55,12.34
22:34:19,55.3,12.34
22:34:20,55.2,12.34
22:34:21,55.3,12.34
22:34:22,55.1,12.34
22:34:23,55,12.34
22:34:24,55.1,12.34
22:34:25,55.1,12.35
22:34:26,55.4,12.35
22:34:27,55,12.34
22:34:28,55.1,12.35
22:34:29,55.1,12.35
22:34:30,55,12.36
22:34:31,54.7,12.35
22:34:32,54.9,12.36
22:34:33,54.9,12.36
22:34:34,54.8,12.36
22:34:35,54.3,12.36
22:34:36,54.4,12.37
22:34:37,54.2,12.36
22:34:38,54.2,12.37
22:34:39,54.1,12.37
22:34:40,53.7,12.37
22:34:41,53.6,12.38
22:34:42,53.3,12.38
22:34:43,53.5,12.39
22:34:44,53,12.38
22:34:45,53.2,12.39
22:34:46,53.2,12.38
22:34:47,52.8,12.39
22:34:48,52.7,12.39
22:34:49,52.6,12.39
22:34:50,52.5,12.39
22:34:51,52.8,12.4
22:34:52,52.6,12.4
22:34:53,52.3,12.39
22:34:54,52.5,12.39
22:34:55,52.4,12.39
22:34:56,52.1,12.4
22:34:57,52.4,12.4
22:34:58,51.8,12.4
22:34:59,51.9,12.4
22:35:00,51.8,12.4
22:35:01,51.9,12.41
22:35:02,51.6,12.4
22:35:03,51.7,12.41
22:35:04,51.5,12.41
22:35:05,51.7,12.41
22:35:06,51.1,12.4
22:35:07,51.6,12.41
22:35:08,51.4,12.42
22:35:09,51.2,12.41
22:35:10,51.4,12.42
22:35:11,51.2,12.42
22:35:12,51,12.41
22:35:13,51.4,12.42
22:35:14,51.2,12.42
22:35:15,51.2,12.41
22:35:16,51.4,12.42
22:35:17,51.5,12.42
