Time,SmO2, Thb
8:42:07,62.6,12.07
8:42:08,63.4,12.07
8:42:09,63.1,12.1
8:42:10,62.6,12.1
8:42:11,62.9,12.09
8:42:12,63.1,12.09
8:42:13,62.2,12.06
8:42:14,62.2,12.05
8:42:15,61.7,12.05
8:42:16,61.7,12.06
8:42:17,61.8,12.07
8:42:18,61.4,12.08
8:42:19,61,12.08
8:42:20,61.2,12.08
8:42:21,61,12.09
8:42:22,60.9,12.09
8:42:23,61,12.1
8:42:24,60.9,12.11
8:42:25,61,12.1
8:42:26,61,12.1
8:42:27,60.9,12.11
8:42:28,61.2,12.12
8:42:29,61,12.13
8:42:30,60.4,12.13
8:42:31,60.4,12.13
8:42:32,60.3,12.11
8:42:33,60.3,12.12
8:42:34,59.9,12.12
8:42:35,60.1,12.12
8:42:36,59.5,12.12
8:42:37,59.3,12.12
8:42:38,59.2,12.13
8:42:39,58.6,12.12
8:42:40,58.5,12.13
8:42:41,58.5,12.13
8:42:42,57.9,12.13
8:42:43,57.7,12.13
8:42:44,57.5,12.13
8:42:45,57.3,12.14
8:42:46,56.9,12.13
8:42:47,56.5,12.13
8:42:48,56.3,12.13
8:42:49,56.8,12.13
8:42:50,56.6,12.13
8:42:51,56.5,12.14
8:42:52,55.9,12.13
8:42:53,55.6,12.14
8:42:54,55.6,12.15
8:42:55,55,12.14
8:42:56,54.7,12.14
8:42:57,54.3,12.15
8:42:58,54.4,12.15
8:42:59,54,12.15
8:43:00,53.9,12.15
8:43:01,53.4,12.15
8:43:02,53.5,12.15
8:43:03,52.7,12.16
8:43:04,52.8,12.16
8:43:05,53.5,12.16
8:43:06,52.9,12.16
8:43:07,52.6,12.16
8:43:08,52.4,12.17
8:43:09,51.8,12.17
8:43:10,51.7,12.17
8:43:11,51.5,12.18
8:43:12,51.6,12.18
8:43:13,51.2,12.18
8:43:14,50.8,12.18
8:43:15,50.5,12.18
8:43:16,50,12.18
8:43:17,49.8,12.18
8:43:18,49.7,12.18
8:43:19,49.3,12.19
8:43:20,49.7,12.19
8:43:21,49.2,12.19
8:43:22,49.2,12.19
8:43:23,50,12.19
8:43:24,50.1,12.19
8:43:25,49.5,12.2
8:43:26,49.6,12.21
8:43:27,48.5,12.21
8:43:28,48,12.22
8:43:29,48.2,12.21
8:43:30,48.8,12.2
8:43:31,48.4,12.21
8:43:32,48.4,12.21
8:43:33,48,12.21
8:43:34,48,12.21
8:43:35,47.8,12.21
8:43:36,47.7,12.21
8:43:37,47.7,12.21
8:43:38,47.3,12.21
8:43:39,47.4,12.22
8:43:40,47.1,12.22
8:43:41,47,12.22
8:43:42,46.8,12.22
8:43:43,45.6,12.23
8:43:44,45.7,12.23
8:43:45,45.6,12.23
8:43:46,45.4,12.24
8:43:47,45.5,12.24
8:43:48,45,12.24
8:43:49,45.3,12.24
8:43:50,45.2,12.25
8:43:51,44.9,12.24
8:43:52,45,12.25
8:43:53,44.9,12.26
8:43:54,44.7,12.26
8:43:55,44.2,12.26
8:43:56,44.2,12.26
8:43:57,43.9,12.26
8:43:58,43.5,12.27
8:43:59,43.5,12.28
