Time,SmO2,HBDiff
0.03,52.34,40.48
0.12,52.34,40.48
0.21,52.34,40.48
0.33,52.34,40.48
3.21,54.38,41.84
3.30,59.84,45.32
3.39,65.53,49.31
3.54,69.02,52.73
3.60,70.04,54.90
3.69,69.42,55.97
3.81,69.01,56.12
3.90,69.28,54.07
4.02,69.62,50.73
4.11,69.34,48.03
4.20,72.36,45.13
4.29,81.85,41.60
4.41,91.60,39.03
4.53,96.31,38.07
4.59,95.03,39.23
4.71,86.94,42.68
4.83,76.86,43.98
4.89,71.42,40.06
5.04,69.39,34.98
5.10,67.54,31.58
5.19,67.56,28.98
5.28,68.59,29.40
5.40,67.75,35.23
5.52,66.87,42.64
5.58,67.07,47.06
5.70,67.78,48.07
5.79,69.09,47.07
5.88,70.65,45.99
6.03,72.20,46.57
6.09,72.75,49.05
6.18,71.86,51.91
6.30,70.68,53.66
6.39,70.03,54.19
6.54,69.87,54.11
6.60,69.93,53.91
6.69,70.01,53.78
6.78,70.06,53.74
6.87,70.07,53.74
7.02,70.07,53.76
7.08,70.06,53.76
7.17,70.06,53.77
7.29,69.58,53.97
7.38,68.48,53.21
7.47,68.22,50.73
7.59,67.94,46.69
7.68,66.15,40.24
7.77,65.29,36.37
7.89,65.57,39.38
8.04,65.09,44.09
8.07,63.45,46.20
8.19,60.22,45.86
8.28,56.99,44.55
8.37,55.45,43.67
8.52,56.03,41.55
8.58,58.89,36.73
8.67,62.38,32.16
8.79,67.03,30.20
8.91,74.53,29.98
8.97,78.68,31.48
9.06,74.39,34.83
9.18,67.57,37.26
9.30,63.68,37.05
9.36,62.19,36.12
9.54,61.86,35.91
9.57,62.18,35.78
9.69,62.54,35.58
9.78,62.36,36.31
9.87,61.85,37.40
9.96,61.64,37.57
10.08,61.80,37.05
10.17,58.02,36.09
10.29,46.98,34.64
10.38,35.59,33.40
10.47,30.09,32.86
10.56,29.07,32.80
10.68,29.80,32.90
10.77,36.39,33.35
10.86,51.45,34.89
11.04,63.77,37.45
11.07,67.04,40.05
11.16,65.98,42.16
11.28,63.84,43.68
11.37,62.33,43.89
11.46,62.25,41.99
